file_path,module,language,component,brief_description,dependencies,notes,migration_status,go_target_module,complexity_rating,learning_tags,reflection_link
coursebuilder-core-master/coursebuilder/app.yaml,appengine-config,yaml,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/appengine_config.py,appengine-config,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/cron.yaml,cron/jobs,yaml,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/modules/courses/availability_cron.py,cron/jobs,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/models/data_sources/source_handler.py,handlers,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/modules/dashboard/dashboard_handler.py,handlers,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/models/__init__.py,models,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/models/config.py,models,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/COPYING,other,other,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/README,other,other,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/modules/admin/_static/css/admin.css,static,css,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/modules/admin/_static/css/courses.css,static,css,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/course_template.yaml,templates,yaml,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/modules/admin/templates/courses.html,templates,html,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/common/__init__.py,utils,python,,,,,not-started,,,,
coursebuilder-core-master/coursebuilder/common/caching.py,utils,python,,,,,not-started,,,,